"continent","wb_api3c","iso3c","country.name.en","basic.systems","provision","overall","governance","income","quantity"
"Asia","AFG","AFG","Afghanistan","No data","Full","Basic","Yes","SIDS",1.10905948070788
"Europe","ALB","ALB","Albania","Less than basic","Advanced","Less than basic","Yes","Low income",-0.324526168005017
"Africa","DZA","DZA","Algeria","Full","Advanced","Basic","Yes","High income",0.222863508434789
"Europe","AND","AND","Andorra","Less than basic","Full","Basic","Yes","SIDS",-1.95507659174155
"Africa","AGO","AGO","Angola","Less than basic","No data","Essential","Yes","LDCs",0.958720211067305
"Americas","ATG","ATG","Antigua & Barbuda","Basic","Full","Essential","Yes","SIDS",-2.91564483726115
"Americas","ARG","ARG","Argentina","Less than basic","No data","Full","Yes","SIDS",1.92426763355935
"Asia","ARM","ARM","Armenia","No data","Advanced","Basic","Yes","High income",1.57391692633629
"Oceania","AUS","AUS","Australia","No data","Advanced","Basic","No","LDCs",-1.19014877072492
"Europe","AUT","AUT","Austria","Basic","Full","Less than basic","Yes","LDCs",-1.62928782327995
NA,NA,NA,"Austria-Hungary","Less than basic","Basic","Basic","Yes","Low income",1.08041661482312
"Asia","AZE","AZE","Azerbaijan","No data","Advanced","Essential","No data","Low income",-1.05288180728618
NA,NA,NA,"Baden","Basic","Less than basic","Essential","Yes","LDCs",1.82648311924487
"Americas","BHS","BHS","Bahamas","No data","Essential","Less than basic","No","SIDS",-0.248462901326096
"Asia","BHR","BHR","Bahrain","Less than basic","Essential","No data","Yes","LDCs",-0.709279793350342
"Asia","BGD","BGD","Bangladesh","Basic","No data","Essential","Yes","Low income",-0.577233421539548
"Americas","BRB","BRB","Barbados","Advanced","Full","Full","No","SIDS",0.0630029815150291
NA,NA,NA,"Bavaria","Advanced","No data","Full","No","Low income",1.77108858959256
"Europe","BLR","BLR","Belarus","Full","Advanced","Essential","No data","SIDS",1.360723985264
"Europe","BEL","BEL","Belgium","Essential","Advanced","Full","Yes","Low income",-0.137581577174752
"Americas","BLZ","BLZ","Belize","Less than basic","Basic","Full","Yes","High income",0.0760552574171238
"Africa","BEN","BEN","Benin","Less than basic","Full","Full","Yes","High income",-0.415739490943918
"Asia","BTN","BTN","Bhutan","Basic","Less than basic","Less than basic","Yes","Low income",1.68474663608942
